filename,Transect Distance (m),Ice,Water
79.jpg,217,84.13354493,15.86645508
79.jpg,457,84.13354493,15.86645508
80.jpg,219,99.37890625,0.62109375
80.jpg,459,99.37890625,0.62109375
81.jpg,460,88.66772461,11.33227539
81.jpg,220,88.66772461,11.33227539
82.jpg,461,99.98583984,0.014160156249999998
82.jpg,221,99.98583984,0.014160156249999998
83.jpg,462,68.77490235,31.22509766
83.jpg,222,68.77490235,31.22509766
84.jpg,463,94.92456054,5.075439453
84.jpg,223,94.92456054,5.075439453
85.jpg,464,74.37158203,25.62841797
85.jpg,224,74.37158203,25.62841797
86.jpg,225,86.81298828,13.18701172
86.jpg,465,86.81298828,13.18701172
87.jpg,226,98.19848633,1.8015136718750002
87.jpg,466,98.19848633,1.8015136718750002
88.jpg,227,87.76904297,12.23095703
88.jpg,467,87.76904297,12.23095703
89.jpg,468,100,0
89.jpg,228,100,0
90.jpg,470,99.07739258,0.922607422
90.jpg,230,99.07739258,0.922607422
91.jpg,471,91.53320312,8.466796875
91.jpg,231,91.53320312,8.466796875
92.jpg,232,35.27661133,64.72338867
92.jpg,472,35.27661133,64.72338867
93.jpg,473,97.51464844,2.485351563
93.jpg,233,97.51464844,2.485351563
94.jpg,234,99.9975586,0.002441406
94.jpg,474,99.9975586,0.002441406
95.jpg,475,99.78466797,0.215332031
95.jpg,235,99.78466797,0.215332031
96.jpg,476,77.51367188,22.48632813
96.jpg,236,77.51367188,22.48632813
97.jpg,237,79.53955078,20.46044922
97.jpg,477,79.53955078,20.46044922
98.jpg,478,99.89379883,0.10620117187499999
98.jpg,238,99.89379883,0.10620117187499999
99.jpg,239,98.72705078,1.272949219
99.jpg,479,98.72705078,1.272949219
100.jpg,243,100,0
100.jpg,3,100,0
101.jpg,4,61.98730469,38.01269531
101.jpg,244,61.98730469,38.01269531
102.jpg,5,99.9650879,0.034912109
102.jpg,245,99.9650879,0.034912109
103.jpg,6,74.1159668,25.8840332
103.jpg,246,74.1159668,25.8840332
104.jpg,7,79.2956543,20.7043457
104.jpg,247,79.2956543,20.7043457
105.jpg,248,98.89086914,1.109130859
105.jpg,8,98.89086914,1.109130859
106.jpg,249,86.61767578,13.38232422
106.jpg,9,86.61767578,13.38232422
107.jpg,10,88.64819336,11.35180664
107.jpg,250,88.64819336,11.35180664
108.jpg,11,80.8996582,19.1003418
108.jpg,251,80.8996582,19.1003418
109.jpg,12,80.10449219,19.89550781
109.jpg,252,80.10449219,19.89550781
110.jpg,14,98.80126953,1.198730469
110.jpg,254,98.80126953,1.198730469
111.jpg,15,98.87036133,1.129638672
111.jpg,255,98.87036133,1.129638672
112.jpg,16,99.99780273,0.002197266
112.jpg,256,99.99780273,0.002197266
113.jpg,17,92.00512695,7.994873046875001
113.jpg,257,92.00512695,7.994873046875001
114.jpg,18,59.15185547,40.84814453
114.jpg,258,59.15185547,40.84814453
115.jpg,19,34.35839844,65.64160156
115.jpg,259,34.35839844,65.64160156
116.jpg,260,99.81616211,0.183837891
116.jpg,20,99.81616211,0.183837891
117.jpg,261,99.63330079,0.366699219
117.jpg,21,99.63330079,0.366699219
118.jpg,22,74.49243164,25.50756836
118.jpg,262,74.49243164,25.50756836
119.jpg,263,99.99877929,0.001220703
119.jpg,23,99.99877929,0.001220703
120.jpg,265,100,0
120.jpg,25,100,0
121.jpg,26,99.9975586,0.002441406
121.jpg,266,99.9975586,0.002441406
122.jpg,267,69.7956543,30.2043457
122.jpg,27,69.7956543,30.2043457
123.jpg,268,76.16015625,23.83984375
123.jpg,28,76.16015625,23.83984375
125.jpg,29,98.54711914,1.452880859
125.jpg,269,98.54711914,1.452880859
126.jpg,270,71.58813476,28.41186523
126.jpg,30,71.58813476,28.41186523
127.jpg,31,92.27685547,7.723144531249999
127.jpg,271,92.27685547,7.723144531249999
128.jpg,32,92.40087891,7.599121094
128.jpg,272,92.40087891,7.599121094
129.jpg,33,83.49829102,16.50170898
129.jpg,273,83.49829102,16.50170898
130.jpg,35,90.34741211,9.652587891
130.jpg,275,90.34741211,9.652587891
131.jpg,276,85.63525391,14.36474609
131.jpg,36,85.63525391,14.36474609
132.jpg,37,92.49291992,7.507080078
132.jpg,277,92.49291992,7.507080078
133.jpg,278,92.08911133,7.910888671874999
133.jpg,38,92.08911133,7.910888671874999
134.jpg,279,99.66796875,0.33203125
134.jpg,39,99.66796875,0.33203125
135.jpg,280,99.99804688,0.001953125
135.jpg,40,99.99804688,0.001953125
136.jpg,41,83.30517578,16.69482422
136.jpg,281,83.30517578,16.69482422
137.jpg,282,90.70971679,9.290283203
137.jpg,42,90.70971679,9.290283203
138.jpg,283,85.64282227,14.357177734375002
138.jpg,43,85.64282227,14.357177734375002
139.jpg,284,32.88598633,67.11401367
139.jpg,44,32.88598633,67.11401367
140.jpg,286,47.15527344,52.84472656
140.jpg,46,47.15527344,52.84472656
141.jpg,287,82.80395507,17.19604492
141.jpg,47,82.80395507,17.19604492
