Transect Distance (m),filename,datetime,Cluster_0_Percent,Cluster_0_HSV,Cluster_1_Percent,Cluster_1_HSV,Cluster_2_Percent,Cluster_2_HSV,,Ice,Water
456,78.jpg,1970-01-01T00:00:00.000,91.0559082,"(226.53, 221.04, 215.70)",0.154785156,"(46.33, 38.59, 31.21)",8.789306641,"(136.49, 129.95, 117.47)",,99.84521484,0.154785156
217,79.jpg,1970-01-01T00:00:00.000,61.63525391,"(226.53, 221.04, 215.70)",15.86645508,"(46.33, 38.59, 31.21)",22.49829102,"(136.49, 129.95, 117.47)",,84.13354493,15.86645508
457,79.jpg,1970-01-01T00:00:00.000,61.63525391,"(226.53, 221.04, 215.70)",15.86645508,"(46.33, 38.59, 31.21)",22.49829102,"(136.49, 129.95, 117.47)",,84.13354493,15.86645508
219,80.jpg,1970-01-01T00:00:00.000,71.51806641,"(226.53, 221.04, 215.70)",0.62109375,"(46.33, 38.59, 31.21)",27.86083984,"(136.49, 129.95, 117.47)",,99.37890625,0.62109375
459,80.jpg,1970-01-01T00:00:00.000,71.51806641,"(226.53, 221.04, 215.70)",0.62109375,"(46.33, 38.59, 31.21)",27.86083984,"(136.49, 129.95, 117.47)",,99.37890625,0.62109375
460,81.jpg,1970-01-01T00:00:00.000,45.10595703,"(226.53, 221.04, 215.70)",11.33227539,"(46.33, 38.59, 31.21)",43.56176758,"(136.49, 129.95, 117.47)",,88.66772461,11.33227539
220,81.jpg,1970-01-01T00:00:00.000,45.10595703,"(226.53, 221.04, 215.70)",11.33227539,"(46.33, 38.59, 31.21)",43.56176758,"(136.49, 129.95, 117.47)",,88.66772461,11.33227539
461,82.jpg,1970-01-01T00:00:00.000,98.27905273,"(226.53, 221.04, 215.70)",0.014160156249999998,"(46.33, 38.59, 31.21)",1.706787109,"(136.49, 129.95, 117.47)",,99.98583984,0.014160156249999998
221,82.jpg,1970-01-01T00:00:00.000,98.27905273,"(226.53, 221.04, 215.70)",0.014160156249999998,"(46.33, 38.59, 31.21)",1.706787109,"(136.49, 129.95, 117.47)",,99.98583984,0.014160156249999998
462,83.jpg,1970-01-01T00:00:00.000,65.29223633,"(226.53, 221.04, 215.70)",31.22509766,"(46.33, 38.59, 31.21)",3.482666016,"(136.49, 129.95, 117.47)",,68.77490235,31.22509766
222,83.jpg,1970-01-01T00:00:00.000,65.29223633,"(226.53, 221.04, 215.70)",31.22509766,"(46.33, 38.59, 31.21)",3.482666016,"(136.49, 129.95, 117.47)",,68.77490235,31.22509766
463,84.jpg,1970-01-01T00:00:00.000,82.32128906,"(226.53, 221.04, 215.70)",5.075439453,"(46.33, 38.59, 31.21)",12.60327148,"(136.49, 129.95, 117.47)",,94.92456054,5.075439453
223,84.jpg,1970-01-01T00:00:00.000,82.32128906,"(226.53, 221.04, 215.70)",5.075439453,"(46.33, 38.59, 31.21)",12.60327148,"(136.49, 129.95, 117.47)",,94.92456054,5.075439453
464,85.jpg,1970-01-01T00:00:00.000,56.54345703,"(226.53, 221.04, 215.70)",25.62841797,"(46.33, 38.59, 31.21)",17.828125,"(136.49, 129.95, 117.47)",,74.37158203,25.62841797
224,85.jpg,1970-01-01T00:00:00.000,56.54345703,"(226.53, 221.04, 215.70)",25.62841797,"(46.33, 38.59, 31.21)",17.828125,"(136.49, 129.95, 117.47)",,74.37158203,25.62841797
225,86.jpg,1970-01-01T00:00:00.000,63.25878906,"(226.53, 221.04, 215.70)",13.18701172,"(46.33, 38.59, 31.21)",23.55419922,"(136.49, 129.95, 117.47)",,86.81298828,13.18701172
465,86.jpg,1970-01-01T00:00:00.000,63.25878906,"(226.53, 221.04, 215.70)",13.18701172,"(46.33, 38.59, 31.21)",23.55419922,"(136.49, 129.95, 117.47)",,86.81298828,13.18701172
226,87.jpg,1970-01-01T00:00:00.000,80.55126953,"(226.53, 221.04, 215.70)",1.8015136718750002,"(46.33, 38.59, 31.21)",17.6472168,"(136.49, 129.95, 117.47)",,98.19848633,1.8015136718750002
466,87.jpg,1970-01-01T00:00:00.000,80.55126953,"(226.53, 221.04, 215.70)",1.8015136718750002,"(46.33, 38.59, 31.21)",17.6472168,"(136.49, 129.95, 117.47)",,98.19848633,1.8015136718750002
227,88.jpg,1970-01-01T00:00:00.000,82.31567383,"(226.53, 221.04, 215.70)",12.23095703,"(46.33, 38.59, 31.21)",5.453369141,"(136.49, 129.95, 117.47)",,87.76904297,12.23095703
467,88.jpg,1970-01-01T00:00:00.000,82.31567383,"(226.53, 221.04, 215.70)",12.23095703,"(46.33, 38.59, 31.21)",5.453369141,"(136.49, 129.95, 117.47)",,87.76904297,12.23095703
468,89.jpg,1970-01-01T00:00:00.000,90.45043945,"(226.53, 221.04, 215.70)",0,"(46.33, 38.59, 31.21)",9.549560547,"(136.49, 129.95, 117.47)",,100,0
228,89.jpg,1970-01-01T00:00:00.000,90.45043945,"(226.53, 221.04, 215.70)",0,"(46.33, 38.59, 31.21)",9.549560547,"(136.49, 129.95, 117.47)",,100,0
470,90.jpg,1970-01-01T00:00:00.000,82.7175293,"(226.53, 221.04, 215.70)",0.922607422,"(46.33, 38.59, 31.21)",16.35986328,"(136.49, 129.95, 117.47)",,99.07739258,0.922607422
230,90.jpg,1970-01-01T00:00:00.000,82.7175293,"(226.53, 221.04, 215.70)",0.922607422,"(46.33, 38.59, 31.21)",16.35986328,"(136.49, 129.95, 117.47)",,99.07739258,0.922607422
471,91.jpg,1970-01-01T00:00:00.000,68.01586914,"(226.53, 221.04, 215.70)",8.466796875,"(46.33, 38.59, 31.21)",23.51733398,"(136.49, 129.95, 117.47)",,91.53320312,8.466796875
231,91.jpg,1970-01-01T00:00:00.000,68.01586914,"(226.53, 221.04, 215.70)",8.466796875,"(46.33, 38.59, 31.21)",23.51733398,"(136.49, 129.95, 117.47)",,91.53320312,8.466796875
232,92.jpg,1970-01-01T00:00:00.000,20.11035156,"(226.53, 221.04, 215.70)",64.72338867,"(46.33, 38.59, 31.21)",15.16625977,"(136.49, 129.95, 117.47)",,35.27661133,64.72338867
472,92.jpg,1970-01-01T00:00:00.000,20.11035156,"(226.53, 221.04, 215.70)",64.72338867,"(46.33, 38.59, 31.21)",15.16625977,"(136.49, 129.95, 117.47)",,35.27661133,64.72338867
473,93.jpg,1970-01-01T00:00:00.000,71.84472656,"(226.53, 221.04, 215.70)",2.485351563,"(46.33, 38.59, 31.21)",25.66992188,"(136.49, 129.95, 117.47)",,97.51464844,2.485351563
233,93.jpg,1970-01-01T00:00:00.000,71.84472656,"(226.53, 221.04, 215.70)",2.485351563,"(46.33, 38.59, 31.21)",25.66992188,"(136.49, 129.95, 117.47)",,97.51464844,2.485351563
234,94.jpg,1970-01-01T00:00:00.000,86.6159668,"(226.53, 221.04, 215.70)",0.002441406,"(46.33, 38.59, 31.21)",13.3815918,"(136.49, 129.95, 117.47)",,99.9975586,0.002441406
474,94.jpg,1970-01-01T00:00:00.000,86.6159668,"(226.53, 221.04, 215.70)",0.002441406,"(46.33, 38.59, 31.21)",13.3815918,"(136.49, 129.95, 117.47)",,99.9975586,0.002441406
475,95.jpg,1970-01-01T00:00:00.000,59.95019531,"(226.53, 221.04, 215.70)",0.215332031,"(46.33, 38.59, 31.21)",39.83447266,"(136.49, 129.95, 117.47)",,99.78466797,0.215332031
235,95.jpg,1970-01-01T00:00:00.000,59.95019531,"(226.53, 221.04, 215.70)",0.215332031,"(46.33, 38.59, 31.21)",39.83447266,"(136.49, 129.95, 117.47)",,99.78466797,0.215332031
476,96.jpg,1970-01-01T00:00:00.000,64.08935547,"(226.53, 221.04, 215.70)",22.48632813,"(46.33, 38.59, 31.21)",13.42431641,"(136.49, 129.95, 117.47)",,77.51367188,22.48632813
236,96.jpg,1970-01-01T00:00:00.000,64.08935547,"(226.53, 221.04, 215.70)",22.48632813,"(46.33, 38.59, 31.21)",13.42431641,"(136.49, 129.95, 117.47)",,77.51367188,22.48632813
237,97.jpg,1970-01-01T00:00:00.000,61.13305664062501,"(226.53, 221.04, 215.70)",20.46044922,"(46.33, 38.59, 31.21)",18.40649414,"(136.49, 129.95, 117.47)",,79.53955078,20.46044922
477,97.jpg,1970-01-01T00:00:00.000,61.13305664062501,"(226.53, 221.04, 215.70)",20.46044922,"(46.33, 38.59, 31.21)",18.40649414,"(136.49, 129.95, 117.47)",,79.53955078,20.46044922
478,98.jpg,1970-01-01T00:00:00.000,53.11645508,"(226.53, 221.04, 215.70)",0.10620117187499999,"(46.33, 38.59, 31.21)",46.77734375,"(136.49, 129.95, 117.47)",,99.89379883,0.10620117187499999
238,98.jpg,1970-01-01T00:00:00.000,53.11645508,"(226.53, 221.04, 215.70)",0.10620117187499999,"(46.33, 38.59, 31.21)",46.77734375,"(136.49, 129.95, 117.47)",,99.89379883,0.10620117187499999
239,99.jpg,1970-01-01T00:00:00.000,37.34912109,"(226.53, 221.04, 215.70)",1.272949219,"(46.33, 38.59, 31.21)",61.37792969,"(136.49, 129.95, 117.47)",,98.72705078,1.272949219
479,99.jpg,1970-01-01T00:00:00.000,37.34912109,"(226.53, 221.04, 215.70)",1.272949219,"(46.33, 38.59, 31.21)",61.37792969,"(136.49, 129.95, 117.47)",,98.72705078,1.272949219
243,100.jpg,1970-01-01T00:00:00.000,99.0715332,"(226.53, 221.04, 215.70)",0,"(46.33, 38.59, 31.21)",0.928466797,"(136.49, 129.95, 117.47)",,100,0
3,100.jpg,1970-01-01T00:00:00.000,99.0715332,"(226.53, 221.04, 215.70)",0,"(46.33, 38.59, 31.21)",0.928466797,"(136.49, 129.95, 117.47)",,100,0
4,101.jpg,1970-01-01T00:00:00.000,49.19775391,"(226.53, 221.04, 215.70)",38.01269531,"(46.33, 38.59, 31.21)",12.78955078,"(136.49, 129.95, 117.47)",,61.98730469,38.01269531
244,101.jpg,1970-01-01T00:00:00.000,49.19775391,"(226.53, 221.04, 215.70)",38.01269531,"(46.33, 38.59, 31.21)",12.78955078,"(136.49, 129.95, 117.47)",,61.98730469,38.01269531
5,102.jpg,1970-01-01T00:00:00.000,97.82250977,"(226.53, 221.04, 215.70)",0.034912109,"(46.33, 38.59, 31.21)",2.142578125,"(136.49, 129.95, 117.47)",,99.9650879,0.034912109
